Datetime,Open,High,Low,Close,Volume
2022-08-17 10:45:00,2.092,2.17,2.063,2.149,960461.1
2022-08-17 11:00:00,2.144,2.156,2.1,2.133,822275.5
2022-08-17 11:15:00,2.128,2.19,2.125,2.133,573589.6
2022-08-17 11:30:00,2.134,2.198,2.114,2.195,579745.1
2022-08-17 11:45:00,2.197,2.199,2.113,2.132,710383.0
2022-08-17 12:00:00,2.135,2.145,2.101,2.114,296189.1
2022-08-17 12:15:00,2.11,2.114,2.071,2.095,295645.6
2022-08-17 12:30:00,2.095,2.129,2.077,2.114,278098.9
2022-08-17 12:45:00,2.112,2.113,2.081,2.087,141270.7
2022-08-17 13:00:00,2.085,2.097,2.071,2.079,109542.1
2022-08-17 13:15:00,2.078,2.135,2.074,2.129,248221.9
2022-08-17 13:30:00,2.129,2.153,2.103,2.137,361237.6
2022-08-17 13:45:00,2.135,2.163,2.123,2.125,394974.1
2022-08-17 14:00:00,2.128,2.176,2.124,2.125,428395.2
2022-08-17 14:15:00,2.126,2.135,2.103,2.128,241258.6
2022-08-17 14:30:00,2.126,2.142,2.11,2.12,170052.30000000002
2022-08-17 14:45:00,2.123,2.125,2.092,2.099,129367.8
2022-08-17 15:00:00,2.099,2.107,2.074,2.084,135059.5
2022-08-17 15:15:00,2.086,2.13,2.081,2.125,181891.9
2022-08-17 15:30:00,2.125,2.128,1.996,2.007,1030467.0
2022-08-17 15:45:00,2.004,2.051,1.98,2.032,421068.5
2022-08-17 16:00:00,2.031,2.072,2.021,2.063,197287.5
2022-08-17 16:15:00,2.063,2.08,2.045,2.068,238139.7
2022-08-17 16:30:00,2.067,2.07,2.046,2.051,59118.1
2022-08-17 16:45:00,2.049,2.062,2.011,2.024,188072.5
2022-08-17 17:00:00,2.023,2.04,2.015,2.025,123594.4
2022-08-17 17:15:00,2.023,2.083,2.02,2.079,188945.4
2022-08-17 17:30:00,2.076,2.132,2.073,2.102,974911.4
2022-08-17 17:45:00,2.102,2.158,2.1,2.146,1031924.7
2022-08-17 18:00:00,2.148,2.149,2.1,2.11,715702.8
2022-08-17 18:15:00,2.11,2.128,2.081,2.097,627196.5
2022-08-17 18:30:00,2.097,2.113,2.071,2.081,294103.3
2022-08-17 18:45:00,2.083,2.112,2.08,2.087,240750.19999999998
2022-08-17 19:00:00,2.086,2.119,2.08,2.117,201786.09999999998
2022-08-17 19:15:00,2.117,2.133,2.092,2.096,373742.6
2022-08-17 19:30:00,2.098,2.111,2.091,2.107,163082.3
2022-08-17 19:45:00,2.107,2.11,2.063,2.074,228385.4
2022-08-17 20:00:00,2.074,2.16,2.071,2.153,493572.6
2022-08-17 20:15:00,2.151,2.154,2.026,2.044,1117376.1
2022-08-17 20:30:00,2.044,2.078,2.015,2.068,737515.2
2022-08-17 20:45:00,2.066,2.085,2.03,2.038,379496.4
2022-08-17 21:00:00,2.036,2.063,1.949,1.982,1036013.5
2022-08-17 21:15:00,1.981,1.987,1.925,1.978,773244.6
2022-08-17 21:30:00,1.977,1.986,1.925,1.955,407810.7
2022-08-17 21:45:00,1.953,1.956,1.913,1.944,493760.9
2022-08-17 22:00:00,1.944,1.952,1.93,1.939,152133.3
2022-08-17 22:15:00,1.937,1.96,1.931,1.947,89495.29999999999
2022-08-17 22:30:00,1.949,1.965,1.926,1.932,214986.8
2022-08-17 22:45:00,1.932,1.946,1.905,1.922,379514.0
2022-08-17 23:00:00,1.922,1.93,1.909,1.925,126637.4
2022-08-17 23:15:00,1.929,1.947,1.929,1.941,82407.0
2022-08-17 23:30:00,1.941,1.941,1.919,1.924,99330.4
2022-08-17 23:45:00,1.924,1.927,1.91,1.919,74633.5
2022-08-18 00:00:00,1.92,1.928,1.912,1.914,61433.2
2022-08-18 00:15:00,1.914,1.918,1.862,1.894,504250.4
2022-08-18 00:30:00,1.895,1.898,1.875,1.882,78178.7
2022-08-18 00:45:00,1.879,1.893,1.876,1.893,32682.2
2022-08-18 01:00:00,1.891,1.893,1.87,1.884,77716.1
2022-08-18 01:15:00,1.884,1.899,1.876,1.896,76598.4
2022-08-18 01:30:00,1.896,1.9,1.892,1.895,44623.2
2022-08-18 01:45:00,1.893,1.918,1.884,1.917,96608.1
2022-08-18 02:00:00,1.914,1.981,1.907,1.954,614684.0
2022-08-18 02:15:00,1.954,1.965,1.924,1.955,236944.9
2022-08-18 02:30:00,1.955,1.976,1.953,1.963,78644.0
2022-08-18 02:45:00,1.963,1.971,1.934,1.936,82359.4
2022-08-18 03:00:00,1.936,1.952,1.9,1.901,172174.0
2022-08-18 03:15:00,1.904,1.911,1.892,1.91,99050.1
2022-08-18 03:30:00,1.91,1.927,1.901,1.923,113754.3
2022-08-18 03:45:00,1.922,1.93,1.916,1.927,37210.1
2022-08-18 04:00:00,1.925,1.935,1.907,1.931,45726.4
2022-08-18 04:15:00,1.931,1.948,1.925,1.943,41351.5
2022-08-18 04:30:00,1.945,1.953,1.93,1.936,34949.9
2022-08-18 04:45:00,1.936,1.949,1.929,1.947,24489.800000000003
2022-08-18 05:00:00,1.949,1.949,1.919,1.921,39481.1
2022-08-18 05:15:00,1.924,1.938,1.906,1.917,62862.2
2022-08-18 05:30:00,1.915,1.928,1.915,1.921,11109.300000000001
2022-08-18 05:45:00,1.923,1.928,1.915,1.928,28174.9
2022-08-18 06:00:00,1.928,1.948,1.921,1.948,34083.4
2022-08-18 06:15:00,1.948,1.978,1.945,1.971,109818.40000000001
2022-08-18 06:30:00,1.97,1.971,1.93,1.934,76710.3
2022-08-18 06:45:00,1.934,1.952,1.918,1.944,75040.3
2022-08-18 07:00:00,1.941,1.961,1.938,1.944,29215.0
2022-08-18 07:15:00,1.942,1.945,1.911,1.928,52555.5
2022-08-18 07:30:00,1.928,1.945,1.924,1.938,27837.4
2022-08-18 07:45:00,1.938,1.938,1.903,1.915,115287.0
2022-08-18 08:00:00,1.911,1.915,1.895,1.915,66553.7
2022-08-18 08:15:00,1.911,1.921,1.893,1.897,101643.1
2022-08-18 08:30:00,1.897,1.942,1.896,1.937,72041.1
2022-08-18 08:45:00,1.935,1.953,1.928,1.937,97884.0
2022-08-18 09:00:00,1.937,1.942,1.93,1.933,25678.5
2022-08-18 09:15:00,1.933,1.94,1.924,1.933,20912.7
2022-08-18 09:30:00,1.936,1.955,1.936,1.948,39288.5
2022-08-18 09:45:00,1.95,1.962,1.949,1.955,41655.5
2022-08-18 10:00:00,1.956,1.958,1.925,1.934,91034.1
2022-08-18 10:15:00,1.934,1.935,1.912,1.916,37179.8
2022-08-18 10:30:00,1.915,1.926,1.912,1.923,17665.3
2022-08-18 10:45:00,1.923,1.933,1.922,1.932,19892.7
2022-08-18 11:00:00,1.932,1.935,1.91,1.914,116331.3
2022-08-18 11:15:00,1.914,1.93,1.914,1.928,57449.799999999996
2022-08-18 11:30:00,1.929,1.949,1.926,1.94,52246.4
2022-08-18 11:45:00,1.941,1.95,1.93,1.943,44857.7
2022-08-18 12:00:00,1.946,1.95,1.935,1.938,64888.6
2022-08-18 12:15:00,1.938,1.948,1.935,1.937,25632.5
2022-08-18 12:30:00,1.937,1.937,1.922,1.922,28511.3
2022-08-18 12:45:00,1.922,1.948,1.918,1.948,75150.3
2022-08-18 13:00:00,1.948,1.949,1.926,1.926,81785.0
2022-08-18 13:15:00,1.929,1.936,1.921,1.933,41257.5
