Datetime,Open,High,Low,Close,Volume
2023-04-13 10:30:00,7.185,7.314,7.15,7.19,72717.3
2023-04-13 10:45:00,7.192,7.35,7.154,7.27,67925.8
2023-04-13 11:00:00,7.264,7.265,7.073,7.114,84189.4
2023-04-13 11:15:00,7.111,7.145,7.08,7.108,35161.0
2023-04-13 11:30:00,7.1,7.145,7.079,7.144,18738.3
2023-04-13 11:45:00,7.145,7.155,7.144,7.144,28021.7
2023-04-13 12:00:00,7.147,7.161,7.035,7.05,35135.7
2023-04-13 12:15:00,7.05,7.06,7.01,7.026,18483.8
2023-04-13 12:30:00,7.026,7.033,6.942,6.956,29932.0
2023-04-13 12:45:00,6.959,6.995,6.93,6.949,30754.4
2023-04-13 13:00:00,6.945,6.945,6.761,6.806,103241.0
2023-04-13 13:15:00,6.804,6.813,6.761,6.777,21695.2
2023-04-13 13:30:00,6.783,6.787,6.677,6.717,39136.5
2023-04-13 13:45:00,6.721,6.733,6.689,6.728,27908.3
2023-04-13 14:00:00,6.73,6.786,6.704,6.735,49607.2
2023-04-13 14:15:00,6.731,6.823,6.731,6.816,41137.4
2023-04-13 14:30:00,6.816,6.874,6.797,6.815,45962.3
2023-04-13 14:45:00,6.808,6.825,6.752,6.76,25084.5
2023-04-13 15:00:00,6.764,6.898,6.744,6.859,51482.700000000004
2023-04-13 15:15:00,6.866,6.965,6.855,6.963,54094.9
2023-04-13 15:30:00,6.963,6.99,6.913,6.931,40719.1
2023-04-13 15:45:00,6.929,6.982,6.912,6.92,15480.1
2023-04-13 16:00:00,6.923,6.979,6.834,6.847,32919.5
2023-04-13 16:15:00,6.847,6.874,6.818,6.856,28360.2
2023-04-13 16:30:00,6.861,6.944,6.853,6.918,23644.3
2023-04-13 16:45:00,6.917,7.035,6.886,7.034,40362.1
2023-04-13 17:00:00,7.033,7.039,6.951,6.998,32764.0
2023-04-13 17:15:00,6.994,6.998,6.942,6.97,24432.2
2023-04-13 17:30:00,6.968,7.0,6.94,6.94,18656.8
2023-04-13 17:45:00,6.94,6.978,6.937,6.97,7175.4
2023-04-13 18:00:00,6.968,6.989,6.899,6.92,16449.8
2023-04-13 18:15:00,6.92,6.953,6.898,6.924,16686.3
2023-04-13 18:30:00,6.921,6.948,6.907,6.916,14606.8
2023-04-13 18:45:00,6.919,6.944,6.901,6.901,14170.1
2023-04-13 19:00:00,6.901,6.981,6.895,6.942,33107.3
2023-04-13 19:15:00,6.942,6.956,6.913,6.948,8213.0
2023-04-13 19:30:00,6.948,6.972,6.928,6.928,11501.9
2023-04-13 19:45:00,6.928,6.945,6.909,6.931,12558.8
2023-04-13 20:00:00,6.931,6.951,6.927,6.939,8298.5
2023-04-13 20:15:00,6.94,6.948,6.899,6.92,12130.800000000001
2023-04-13 20:30:00,6.919,6.947,6.897,6.93,15816.2
2023-04-13 20:45:00,6.931,6.952,6.91,6.916,8348.8
2023-04-13 21:00:00,6.912,6.932,6.9,6.906,6274.9
2023-04-13 21:15:00,6.903,6.903,6.75,6.773,38369.7
2023-04-13 21:30:00,6.772,6.837,6.745,6.822,24503.7
2023-04-13 21:45:00,6.824,6.87,6.792,6.795,13389.4
2023-04-13 22:00:00,6.8,6.824,6.782,6.795,5352.8
2023-04-13 22:15:00,6.789,6.841,6.783,6.839,7291.9
2023-04-13 22:30:00,6.839,6.913,6.839,6.9,25159.3
2023-04-13 22:45:00,6.899,6.946,6.876,6.93,31276.8
2023-04-13 23:00:00,6.93,6.958,6.918,6.951,28853.6
2023-04-13 23:15:00,6.944,6.962,6.872,6.881,28546.5
2023-04-13 23:30:00,6.881,6.897,6.846,6.891,23593.4
2023-04-13 23:45:00,6.89,6.94,6.888,6.921,18440.3
2023-04-14 00:00:00,6.922,6.996,6.863,6.886,38578.0
2023-04-14 00:15:00,6.886,6.92,6.846,6.909,16811.9
2023-04-14 00:30:00,6.907,6.954,6.879,6.886,31163.8
