strategyName,freq_time,symbol,strategytype,updatetime,avgLoss
AAVEUSDT-15K-OB-DQN,15,AAVEUSDT,DQNStrategy,2023-10-20,-2.03
ACHUSDT-15K-OB-DQN,15,ACHUSDT,DQNStrategy,2023-10-21,-100.0
ADAUSDT-15K-OB-DQN,15,ADAUSDT,DQNStrategy,2023-10-20,-0.01
AGIXUSDT-15K-OB-DQN,15,AGIXUSDT,DQNStrategy,2023-10-21,-0.01
AGLDUSDT-15K-OB-DQN,15,AGLDUSDT,DQNStrategy,2023-10-21,-0.01
ALGOUSDT-15K-OB-DQN,15,ALGOUSDT,DQNStrategy,2023-10-20,-0.01
ALICEUSDT-15K-OB-DQN,15,ALICEUSDT,DQNStrategy,2023-10-21,-0.28
ALPHAUSDT-15K-OB-DQN,15,ALPHAUSDT,DQNStrategy,2023-10-21,-0.01
AMBUSDT-15K-OB-DQN,15,AMBUSDT,DQNStrategy,2023-10-21,0.0
ANKRUSDT-15K-OB-DQN,15,ANKRUSDT,DQNStrategy,2023-10-21,0.0
ANTUSDT-15K-OB-DQN,15,ANTUSDT,DQNStrategy,2023-10-21,-0.11
APEUSDT-15K-OB-DQN,15,APEUSDT,DQNStrategy,2023-10-21,-0.06
APTUSDT-15K-OB-DQN,15,APTUSDT,DQNStrategy,2023-10-21,-0.07
ARBUSDT-15K-OB-DQN,15,ARBUSDT,DQNStrategy,2023-10-21,-100.0
ARKMUSDT-15K-OB-DQN,15,ARKMUSDT,DQNStrategy,2023-10-21,0.0
ARKUSDT-15K-OB-DQN,15,ARKUSDT,DQNStrategy,2023-10-21,0.0
ARPAUSDT-15K-OB-DQN,15,ARPAUSDT,DQNStrategy,2023-10-21,-100.0
ARUSDT-15K-OB-DQN,15,ARUSDT,DQNStrategy,2023-10-21,-0.28
ASTRUSDT-15K-OB-DQN,15,ASTRUSDT,DQNStrategy,2023-10-21,-100.0
ATAUSDT-15K-OB-DQN,15,ATAUSDT,DQNStrategy,2023-10-21,-0.01
ATOMUSDT-15K-OB-DQN,15,ATOMUSDT,DQNStrategy,2023-10-20,-0.16
AUDIOUSDT-15K-OB-DQN,15,AUDIOUSDT,DQNStrategy,2023-10-21,-100.0
AVAXUSDT-15K-OB-DQN,15,AVAXUSDT,DQNStrategy,2023-10-20,-0.62
AXSUSDT-15K-OB-DQN,15,AXSUSDT,DQNStrategy,2023-10-21,-0.69
BAKEUSDT-15K-OB-DQN,15,BAKEUSDT,DQNStrategy,2023-10-21,-100.0
BALUSDT-15K-OB-DQN,15,BALUSDT,DQNStrategy,2023-10-20,-0.59
BANDUSDT-15K-OB-DQN,15,BANDUSDT,DQNStrategy,2023-10-20,-100.0
BATUSDT-15K-OB-DQN,15,BATUSDT,DQNStrategy,2023-10-20,-0.02
BCHUSDT-15K-OB-DQN,15,BCHUSDT,DQNStrategy,2023-10-20,-2.76
BELUSDT-15K-OB-DQN,15,BELUSDT,DQNStrategy,2023-10-21,-0.03
BICOUSDT-15K-OB-DQN,15,BICOUSDT,DQNStrategy,2023-10-21,0.0
BIGTIMEUSDT-15K-OB-DQN,15,BIGTIMEUSDT,DQNStrategy,2023-10-21,-0.01
BLUEBIRDUSDT-15K-OB-DQN,15,BLUEBIRDUSDT,DQNStrategy,2023-10-21,-0.04
BLURUSDT-15K-OB-DQN,15,BLURUSDT,DQNStrategy,2023-10-21,-0.01
BLZUSDT-15K-OB-DQN,15,BLZUSDT,DQNStrategy,2023-10-20,0.0
BNBUSDT-15K-OB-DQN,15,BNBUSDT,DQNStrategy,2023-10-20,-2.1
BNTUSDT-15K-OB-DQN,15,BNTUSDT,DQNStrategy,2023-10-21,0.0
BNXUSDT-15K-OB-DQN,15,BNXUSDT,DQNStrategy,2023-10-21,-0.01
BONDUSDT-15K-OB-DQN,15,BONDUSDT,DQNStrategy,2023-10-21,-100.0
BSVUSDT-15K-OB-DQN,15,BSVUSDT,DQNStrategy,2023-10-21,-100.0
BTCDOMUSDT-15K-OB-DQN,15,BTCDOMUSDT,DQNStrategy,2023-10-21,-9.93
BTCUSDT-15K-OB-DQN,15,BTCUSDT,DQNStrategy,2023-10-20,-345.0
CELOUSDT-15K-OB-DQN,15,CELOUSDT,DQNStrategy,2023-10-21,-0.05
CELRUSDT-15K-OB-DQN,15,CELRUSDT,DQNStrategy,2023-10-21,0.0
CFXUSDT-15K-OB-DQN,15,CFXUSDT,DQNStrategy,2023-10-21,0.0
CHRUSDT-15K-OB-DQN,15,CHRUSDT,DQNStrategy,2023-10-21,-0.01
CHZUSDT-15K-OB-DQN,15,CHZUSDT,DQNStrategy,2023-10-21,0.0
CKBUSDT-15K-OB-DQN,15,CKBUSDT,DQNStrategy,2023-10-21,0.0
COMBOUSDT-15K-OB-DQN,15,COMBOUSDT,DQNStrategy,2023-10-21,-100.0
COMPUSDT-15K-OB-DQN,15,COMPUSDT,DQNStrategy,2023-10-20,-5.09
COTIUSDT-15K-OB-DQN,15,COTIUSDT,DQNStrategy,2023-10-21,0.0
CRVUSDT-15K-OB-DQN,15,CRVUSDT,DQNStrategy,2023-10-20,-0.09
CTKUSDT-15K-OB-DQN,15,CTKUSDT,DQNStrategy,2023-10-21,-0.01
CTSIUSDT-15K-OB-DQN,15,CTSIUSDT,DQNStrategy,2023-10-21,-0.01
CVXUSDT-15K-OB-DQN,15,CVXUSDT,DQNStrategy,2023-10-21,-0.04
CYBERUSDT-15K-OB-DQN,15,CYBERUSDT,DQNStrategy,2023-10-21,-100.0
DARUSDT-15K-OB-DQN,15,DARUSDT,DQNStrategy,2023-10-21,-100.0
DASHUSDT-15K-OB-DQN,15,DASHUSDT,DQNStrategy,2023-10-20,-0.58
DEFIUSDT-15K-OB-DQN,15,DEFIUSDT,DQNStrategy,2023-10-20,-48.07
DENTUSDT-15K-OB-DQN,15,DENTUSDT,DQNStrategy,2023-10-21,0.0
DGBUSDT-15K-OB-DQN,15,DGBUSDT,DQNStrategy,2023-10-21,-100.0
DODOXUSDT-15K-OB-DQN,15,DODOXUSDT,DQNStrategy,2023-10-21,-100.0
DOGEUSDT-15K-OB-DQN,15,DOGEUSDT,DQNStrategy,2023-10-20,0.0
DOTUSDT-15K-OB-DQN,15,DOTUSDT,DQNStrategy,2023-10-20,-0.18
DUSKUSDT-15K-OB-DQN,15,DUSKUSDT,DQNStrategy,2023-10-21,-0.02
DYDXUSDT-15K-OB-DQN,15,DYDXUSDT,DQNStrategy,2023-10-21,-100.0
EDUUSDT-15K-OB-DQN,15,EDUUSDT,DQNStrategy,2023-10-21,-0.01
EGLDUSDT-15K-OB-DQN,15,EGLDUSDT,DQNStrategy,2023-10-20,-1.85
ENJUSDT-15K-OB-DQN,15,ENJUSDT,DQNStrategy,2023-10-20,-0.01
ENSUSDT-15K-OB-DQN,15,ENSUSDT,DQNStrategy,2023-10-21,-3.09
EOSUSDT-15K-OB-DQN,15,EOSUSDT,DQNStrategy,2023-10-20,-0.06
ETCUSDT-15K-OB-DQN,15,ETCUSDT,DQNStrategy,2023-10-20,-100.0
ETHUSDT-15K-OB-DQN,15,ETHUSDT,DQNStrategy,2023-10-20,-10.33
FETUSDT-15K-OB-DQN,15,FETUSDT,DQNStrategy,2023-10-21,0.0
FILUSDT-15K-OB-DQN,15,FILUSDT,DQNStrategy,2023-10-20,-0.66
FLMUSDT-15K-OB-DQN,15,FLMUSDT,DQNStrategy,2023-10-20,-100.0
FLOWUSDT-15K-OB-DQN,15,FLOWUSDT,DQNStrategy,2023-10-21,-100.0
FOOTBALLUSDT-15K-OB-DQN,15,FOOTBALLUSDT,DQNStrategy,2023-10-21,-11.91
FRONTUSDT-15K-OB-DQN,15,FRONTUSDT,DQNStrategy,2023-10-21,-0.01
FTMUSDT-15K-OB-DQN,15,FTMUSDT,DQNStrategy,2023-10-20,0.0
FXSUSDT-15K-OB-DQN,15,FXSUSDT,DQNStrategy,2023-10-21,-100.0
GALAUSDT-15K-OB-DQN,15,GALAUSDT,DQNStrategy,2023-10-21,-0.01
GALUSDT-15K-OB-DQN,15,GALUSDT,DQNStrategy,2023-10-21,-0.08
GLMRUSDT-15K-OB-DQN,15,GLMRUSDT,DQNStrategy,2023-10-21,0.0
GMTUSDT-15K-OB-DQN,15,GMTUSDT,DQNStrategy,2023-10-21,-0.01
GMXUSDT-15K-OB-DQN,15,GMXUSDT,DQNStrategy,2023-10-21,-1.83
GRTUSDT-15K-OB-DQN,15,GRTUSDT,DQNStrategy,2023-10-21,-0.08
GTCUSDT-15K-OB-DQN,15,GTCUSDT,DQNStrategy,2023-10-21,-0.22
